tamMatriz,numProcesos,numHilos,repeticion,tiempo_seg
1024,2,2,2,6.659565
1024,2,2,3,6.539516
1024,2,2,4,10.151320
1024,2,2,5,8.727776
1024,2,2,6,8.614581
1024,2,2,7,9.282567
1024,2,2,8,8.976941
1024,2,2,9,7.882229
1024,2,2,10,9.731948
1024,2,2,11,10.481826
1024,2,2,12,10.008325
1024,2,2,13,9.698606
1024,2,2,14,7.737131
1024,2,2,15,10.397067
1024,2,2,16,7.443646
1024,2,2,17,6.703517
1024,2,2,18,9.776318
1024,2,2,19,6.457015
1024,2,2,20,8.188692
1024,2,2,21,6.853007
1024,2,2,22,6.831712
1024,2,2,23,9.934960
1024,2,2,24,6.335807
1024,2,2,25,9.768756
1024,2,2,26,10.077995
1024,2,2,27,9.308883
1024,2,2,28,9.247390
1024,2,2,29,7.904926
1024,2,2,30,7.896604
1024,2,4,1,8.862410
1024,2,4,2,8.467824
1024,2,4,3,7.940996
1024,2,4,4,7.828197
1024,2,4,5,9.756164
1024,2,4,6,6.794487
1024,2,4,7,9.463361
1024,2,4,8,6.664072
1024,2,4,9,8.001801
1024,2,4,10,8.355721
1024,2,4,11,9.147025
1024,2,4,12,8.323975
1024,2,4,13,7.634333
1024,2,4,14,9.230105
1024,2,4,15,7.224719
1024,2,4,16,8.294550
1024,2,4,17,8.664694
1024,2,4,18,6.744631
1024,2,4,19,8.065009
1024,2,4,20,9.279993
1024,2,4,21,9.191497
1024,2,4,22,6.253458
1024,2,4,23,9.467569
1024,2,4,24,8.615127
1024,2,4,25,6.414069
1024,2,4,26,7.077768
1024,2,4,27,6.681874
1024,2,4,28,8.389212
1024,2,4,29,9.631010
1024,2,4,30,8.260361
1024,2,8,1,5.889799
1024,2,8,2,7.539264
1024,2,8,3,6.505867
1024,2,8,4,6.567269
1024,2,8,5,9.528027
1024,2,8,6,9.309721
1024,2,8,7,6.725069
1024,2,8,8,8.565796
1024,2,8,9,8.420959
1024,2,8,10,7.528749
1024,2,8,11,6.729653
1024,2,8,12,8.234897
1024,2,8,13,8.155423
1024,2,8,14,8.951475
1024,2,8,15,7.089865
1024,2,8,16,4.181381
1024,2,8,17,0.213526
1024,2,8,18,0.160379
1024,2,8,19,0.172663
1024,2,8,20,0.143944
1024,2,8,21,0.187349
1024,2,8,22,9.400323
1024,2,8,23,4.362394
1024,2,8,24,0.352413
1024,2,8,25,0.203388
1024,2,8,26,0.254368
1024,2,8,27,6.870569
1024,2,8,28,0.192685
1024,2,8,29,0.178284
1024,2,8,30,0.208973
1024,4,1,1,0.202319
1024,4,1,2,0.175387
1024,4,1,3,0.198242
1024,4,1,4,0.214852
1024,4,1,5,0.269595
1024,4,1,6,0.295034
1024,4,1,7,0.433561
1024,4,1,8,0.775573
1024,4,1,9,0.782834
1024,4,1,10,1.723322
1024,4,1,11,0.823944
1024,4,1,12,0.121064
1024,4,1,13,0.343909
1024,4,1,14,0.255533
1024,4,1,15,0.244271
1024,4,1,16,0.777857
1024,4,1,17,0.780429
1024,4,1,18,0.788809
1024,4,1,19,0.790848
1024,4,1,20,0.792680
1024,4,1,21,0.789473
1024,4,1,22,0.790973
1024,4,1,23,0.790485
1024,4,1,24,0.807801
1024,4,1,25,0.808632
1024,4,1,26,0.766905
1024,4,1,27,0.833509
1024,4,1,28,0.783281
1024,4,1,29,0.782549
1024,4,1,30,0.791801
1024,4,2,1,0.807095
1024,4,2,2,0.789905
1024,4,2,3,0.792562
1024,4,2,4,0.820112
1024,4,2,5,0.810078
1024,4,2,6,0.791943
1024,4,2,7,1.821580
1024,4,2,8,0.805357
1024,4,2,9,0.809589
1024,4,2,10,0.781431
1024,4,2,11,0.803791
1024,4,2,12,0.781910
1024,4,2,13,0.788278
